,Georgia Labor Force Estimates,,,,,
,Place of Residence - Persons 16 Years and Older,,,,,
,,,,,Change From,
,Employment ,Preliminary,Revised,Revised, Revised,Revised
Area,Status,DEC 2020,NOV 2020,DEC 2019,NOV 2020,DEC 2019
,Civilian labor force,"5,127,620 5,160,598 5,137,642 ",,,"-32,978 ","-10,022"
Georgia,Employed,"4,841,339 ","4,867,065 4,975,936 ",,"-25,726 ","-134,597"
(Seasonally adjusted),Unemployed,"286,281 293,533 161,706 ",,,"-7,252 124,575",
,Rate,5.6 5.7 3.1,,,,
,Civilian labor force,"5,116,980 5,155,192 5,148,163 ",,,"-38,212 ","-31,183"
Georgia,Employed,"4,843,106 4,879,522 4,999,317 ",,,"-36,416 ","-156,211"
(Not seasonally adjusted),Unemployed,"273,874 ","275,670 148,846 ",,"-1,796 125,028",
,Rate,5.4 5.3 2.9,,,,
,Civilian labor force,"65,911 ","66,276 66,999 ",,-365 ,"-1,088"
Albany MSA,Employed,"61,313 ","61,806 64,581 ",,"-493 -3,268",
,Unemployed,"4,598 4,470 2,418 ",,,"128 2,180",
,Rate,7,6.7 3.6,,,
,Civilian labor force,"97,723 98,800 99,032 ",,,"-1,077 -1,309",
Athens -Clarke,Employed,"93,287 94,483 96,483 ",,,"-1,196 ","-3,196"
County MSA,Unemployed,"4,436 ","4,317 2,549 ",,"119 1,887",
,Rate,4.5 4.4 2.6,,,,
,Civilian labor force,"3,107,968 3,123,399 3,128,881 ",,,"-15,431 ","-20,913"
,Employed,"2,939,513 2,948,268 3,045,413 ",,,"-8,755 ","-105,900"
Atlanta MSA,,,,,,
,Unemployed,"168,455 175,131 83,468 ",,,"-6,676 84,987",
,Rate,5.4 5.6 2.7,,,,
,Civilian labor force,"259,351 259,786 267,075 ",,,-435 ,"-7,724"
Augusta-Richmond,Employed,"246,495 ","247,515 259,182 ",,"-1,020 -12,687",
County MSA,Unemployed,"12,856 12,271 7,893 ",,,"585 4,963",
,Rate,5,4.7 3.0,,,
,Civilian labor force,"47,501 48,002 52,317 ",,,"-501 -4,816",
Brunswick MSA,Employed,"44,827 ","45,411 50,802 ",,"-584 -5,975",
,Unemployed,"2,674 2,591 1,515 ",,,"83 1,159",
,Rate,5.6 5.4 2.9,,,,
,Civilian labor force,"119,608 119,942 122,781 ",,,-334 ,"-3,173"
,Employed,,,,,
Columbus MSA,,"112,686 ","113,197 118,690 ",,-511 ,"-6,004"
,Unemployed,"6,922 ","6,745 4,091 ",,"177 2,831",
,Rate,5.8 5.6 3.3,,,,
,Civilian labor force,"56,847 57,488 59,148 ",,,"-641 -2,301",
,Employed,"53,759 ","54,497 56,266 ",,"-738 -2,507",
Dalton MSA,,,,,,
,Unemployed,"3,088 2,991 2,882 ",,,97,206
,Rate,5.4 5.2 4.9,,,,
,Civilian labor force,"100,505 ","101,997 102,925 ",,"-1,492 ","-2,420"
,Employed,"96,767 ","98,444 100,611 ",,"-1,677 ","-3,844"
Gainesville MSA,Unemployed,"3,738 3,553 2,314 ",,,"185 1,424",
,Rate,3.7 3.5 2.2,,,,
☛,,,,,,
"Note: MSA data are not seasonally adjusted. Employment includes Nonfarm wage and salary employment, self-employment, unpaid family and private",,,,,,
household workers and agricultural workers. Persons in labor disputes are counted as employed. The use of unrounded data does not imply that the numbers are exact.,,,,,,
"Albany MSA: Baker, Dougherty, Lee, Terrell, and Worth counties. ",,,,,,
"Athens-Clarke County MSA: Clarke, Madison, Oconee, and Oglethorpe counties. ",,,,,,
"Atlanta MSA: Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard,",,,,,,
"Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton counties. ",,,,,,
"Augusta-Richmond County MSA: Burke, Columbia, Lincoln, McDuffie, and Richmond counties in Georgia and Aiken and Edgefield counties in South Carolina. ",,,,,,
"Brunswick MSA: Brantley, Glynn, and McIntosh counties. ",,,,,,
"Columbus MSA: Chattahoochee, Harris, Marion, and Muscogee counties in Georgia and Russell County in Alabama. ",,,,,,
Dalton MSA: Murray and Whitfield counties. ,,,,,,
Gainesville MSA: Hall County. ,,,,,,
Hinesville MSA: Liberty and Long counties. ,,,,,,
"Macon-Bibb County MSA: Bibb, Crawford, Jones, Monroe, and Twiggs counties. ",,,,,,
Rome MSA: Floyd County. ,,,,,,
"Savannah MSA: Bryan, Chatham, and Effingham counties. ",,,,,,
"Valdosta MSA: Brooks, Echols, Lanier, and Lowndes counties. ",,,,,,
"Warner Robins MSA: Houston, Peach and Pulaski counties.",,,,,,
,"Source: Georgia Department of Labor, Workforce Statistics & Economic Research",,,,,
,"Georgia Department of Labor, Workforce Statistics & Economic Research",,,,,
,Equal Opportunity Employer/Program • Auxiliary Aids and Services Available Upon Request to Individuals With Disabilities,,,,,
,Georgia Labor Force Estimates,,,,,
,Place of Residence - Persons 16 Years and Older,,,,,
,,,,,Change From,
,Employment ,Preliminary,Revised,Revised, Revised,Revised
Area,Status,DEC 2020,NOV 2020,DEC 2019,NOV 2020,DEC 2019
,Civilian labor force,"34,866 ","35,331 34,464 ",,-465 ,402
,Employed,"33,068 ","33,626 33,388 ",,-558 ,-320
Hinesville MSA,Unemployed,"1,798 1,705 1,076 ",,,93,722
,Rate,5.2 4.8 3.1,,,,
,Civilian labor force,"103,748 ","104,745 103,210 ",,-997 ,538
Macon-Bibb,Employed,"97,548 ","98,640 100,068 ",,"-1,092 ","-2,520"
County MSA,Unemployed,"6,200 ","6,105 3,142 ",,"95 3,058",
,Rate,6.0 5.8 3.0,,,,
,Civilian labor force,"45,111 ","45,118 44,694 ",,-7 ,417
,Employed,"42,960 ","43,128 43,021 ",,-168 ,-61
Rome MSA,Unemployed,"2,151 1,990 1,673 ",,,161,478
,Rate,4.8 4.4 3.7,,,,
,Civilian labor force,"190,082 190,508 187,692 ",,,-426 ,"2,390"
,Employed,"179,365 ","179,809 182,609 ",,-444 ,"-3,244"
Savannah MSA,Unemployed,"10,717 10,699 5,083 ",,,"18 5,634",
,Rate,5.6 5.6 2.7,,,,
,Civilian labor force,"66,510 ","67,499 63,797 ",,-989 ,"2,713"
,Employed,"63,059 64,209 61,892 ",,,"-1,150 ","1,167"
Valdosta MSA,Unemployed,"3,451 3,290 1,905 ",,,"161 1,546",
,Rate,5.2 4.9 3.0,,,,
,Civilian labor force,"84,197 ","84,704 86,201 ",,"-507 -2,004",
,Employed,"80,052 ","80,815 83,793 ",,-763 ,"-3,741"
Warner Robins MSA,,,,,,
,Unemployed,"4,145 3,889 2,408 ",,,"256 1,737",
,Rate,4.9 4.6 2.8,,,,
,United States Labor Force Estimates,,,,,
,Place of Residence - Persons 16 Years and Older,,,,,
,,,,,Change From,
,Employment ,,,,,
Area,Status,DEC 2020,NOV 2020,DEC 2019,NOV 2020,DEC 2019
,Civilian labor force,"160,567,000 160,536,000 164,556,000 ",,,"31,000 ","-3,989,000"
United States,Employed,"149,830,000 ","149,809,000 158,803,000 ",,"21,000 ","-8,973,000"
(Seasonally adjusted),Unemployed,"10,736,000 10,728,000 5,753,000 ",,,"8,000 4,983,000",
,Rate,6.7,6.7 3.5,,,
,Civilian labor force,"160,017,000 160,468,000 164,007,000 ",,,"-451,000 ","-3,990,000"
United States,Employed,"149,613,000 150,203,000 158,504,000 ",,,"-590,000 ","-8,891,000"
(Not Seasonally,Unemployed,"10,404,000 10,264,000 5,503,000 ",,,"140,000 ","4,901,000"
adjusted),,,,,,
,Rate,6.5 6.4 3.4,,,,
☛,,,,,,
"Note: MSA data are not seasonally adjusted. Employment includes Nonfarm wage and salary employment, self-employment, unpaid family and private",,,,,,
household workers and agricultural workers. Persons in labor disputes are counted as employed. The use of unrounded data does not imply that the numbers are,,,,,,
exact.,,,,,,
"Albany MSA: Baker, Dougherty, Lee, Terrell, and Worth counties. ",,,,,,
"Athens-Clarke County MSA: Clarke, Madison, Oconee, and Oglethorpe counties. ",,,,,,
"Atlanta MSA: Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard,",,,,,,
"Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton counties. ",,,,,,
"Augusta-Richmond County MSA: Burke, Columbia, Lincoln, McDuffie, and Richmond counties in Georgia and Aiken and Edgefield counties in South Carolina. ",,,,,,
"Brunswick MSA: Brantley, Glynn, and McIntosh counties. ",,,,,,
"Columbus MSA: Chattahoochee, Harris, Marion, and Muscogee counties in Georgia and Russell County in Alabama. ",,,,,,
Dalton MSA: Murray and Whitfield counties. ,,,,,,
Gainesville MSA: Hall County. ,,,,,,
Hinesville MSA: Liberty and Long counties. ,,,,,,
"Macon-Bibb County MSA: Bibb, Crawford, Jones, Monroe, and Twiggs counties. ",,,,,,
Rome MSA: Floyd County. ,,,,,,
"Savannah MSA: Bryan, Chatham, and Effingham counties. ",,,,,,
"Valdosta MSA: Brooks, Echols, Lanier, and Lowndes counties. ",,,,,,
"Warner Robins MSA: Houston, Peach and Pulaski counties.",,,,,,
,"Source: Georgia Department of Labor, Workforce Statistics & Economic Research",,,,,
,Atlanta MSA Labor Force Estimates,,,,,
,Place of Residence - Persons 16 Years and Older,,,,,
,,,,,Change From,
,Employment ,Preliminary,Revised,Revised, Revised,Revised
Area,Status,DEC 2020,NOV 2020,DEC 2019,NOV 2020,DEC 2019
,Civilian labor force,"3,107,968 ","3,123,399 ","3,128,881 ","-15,431 -20,913",
,Employed,"2,939,513 ","2,948,268 ","3,045,413 ","-8,755 -105,900",
Atlanta MSA,,,,,,
,Unemployed,"168,455 ","175,131 ","83,468 ","-6,676 84,987",
,Rate,5.4,5.6,2.7,,
,"Source: Georgia Department of Labor, Workforce Statistics & Economic Research",,,,,
,Augusta MSA Labor Force Estimates,,,,,
,Place of Residence - Persons 16 Years and Older,,,,,
,,,,,Change From,
,Employment ,Preliminary,Revised,Revised, Revised,Revised
Area,Status,DEC 2020,NOV 2020,DEC 2019,NOV 2020,DEC 2019
,Civilian labor force,"259,351 ","259,786 ","267,075 ","-435 -7,724",
,Employed,"246,495 ","247,515 ","259,182 ","-1,020 -12,687",
"Augusta-Richmond, GA-SC MSA",Unemployed,"12,856 ","12,271 ","7,893 ","585 4,963",
,Rate,5,4.7,3,,
