county_name,lwda_num,dec_2020_claims,nov_2020_claims,dec_2019_claims,dec_to_nov_2020,dec_to_nov_2020_per,dec_to_dec_year_over,dec_to_dec_year_over_per
Appling,16,189,199,165,-10,-0.05,24,0.145
Atkinson,18,83,25,225,58,2.32,-142,-0.631
Bacon,18,68,40,75,28,0.7,-7,-0.093
Baker,17,36,25,4,11,0.44,32,8.0
Baldwin,11,366,313,81,53,0.169,285,3.519
Banks,2,162,134,94,28,0.209,68,0.723
Barrow,9,599,568,126,31,0.055,473,3.754
Bartow,1,2650,1209,665,1441,1.192,1985,2.985
Ben Hill,18,262,96,312,166,1.729,-50,-0.16
Berrien,18,232,137,108,95,0.693,124,1.148
Bibb,10,1664,1486,313,178,0.12,1351,4.316
Bleckley,16,121,74,32,47,0.635,89,2.781
Brantley,18,132,129,28,3,0.023,104,3.714
Brooks,18,108,92,39,16,0.174,69,1.769
Bryan,20,300,300,71,0,0.0,229,3.225
Bulloch,20,862,678,261,184,0.271,601,2.303
Burke,12,256,188,144,68,0.362,112,0.778
Butts,8,251,187,62,64,0.342,189,3.048
Calhoun,17,63,49,39,14,0.286,24,0.615
Camden,20,341,301,41,40,0.133,300,7.317
Candler,16,93,70,74,23,0.329,19,0.257
Carroll,8,1397,1226,264,171,0.139,1133,4.292
Catoosa,1,404,222,229,182,0.82,175,0.764
Charlton,19,51,44,11,7,0.159,40,3.636
Chatham,20,3461,3231,494,230,0.071,2967,6.006
Chattahoochee,14,24,25,8,-1,-0.04,16,2.0
Chattooga,1,150,79,266,71,0.899,-116,-0.436
Cherokee,7,1868,1797,322,71,0.04,1546,4.801
Clarke,9,1405,1162,198,243,0.209,1207,6.096
Clay,14,46,39,20,7,0.179,26,1.3
Clayton,7,4589,3919,931,670,0.171,3658,3.929
Clinch,18,31,37,28,-6,-0.162,3,0.107
Cobb,4,7398,7588,1118,-190,-0.025,6280,5.617
Coffee,18,635,225,666,410,1.822,-31,-0.047
Colquitt,17,312,284,99,28,0.099,213,2.152
Columbia,13,1138,852,212,286,0.336,926,4.368
Cook,18,213,224,54,-11,-0.049,159,2.944
Coweta,8,1735,1499,326,236,0.157,1409,4.322
Crawford,11,67,59,17,8,0.136,50,2.941
Crisp,15,453,415,111,38,0.092,342,3.081
Decatur,17,293,181,68,112,0.619,225,3.309
