county_name,lwda_num,dec_2020_claims,nov_2020_claims,dec_2019_claims,dec_to_nov_2020,dec_to_nov_2020_per,dec_to_dec_year_over,dec_to_dec_year_over_per,population,unemp_to_pop_per
Bartow,1,2650,1209,665,1441,1.192,1985,2.985,104919.0,0.02525757965668754
Berrien,18,232,137,108,95,0.693,124,1.148,19152.0,0.01211361737677527
Bulloch,20,862,678,261,184,0.271,601,2.303,76120.0,0.011324224908039937
Burke,12,256,188,144,68,0.362,112,0.778,22520.0,0.011367673179396092
Carroll,8,1397,1226,264,171,0.139,1133,4.292,117183.0,0.01192152445320567
Chatham,20,3461,3231,494,230,0.071,2967,6.006,288496.0,0.011996700127558095
Clayton,7,4589,3919,931,670,0.171,3658,3.929,283538.0,0.016184779465186323
Coffee,18,635,225,666,410,1.822,-31,-0.047,43021.0,0.01476023337439855
Coweta,8,1735,1499,326,236,0.157,1409,4.322,143260.0,0.012110847410302945
Crisp,15,453,415,111,38,0.092,342,3.081,22713.0,0.01994452516180161
DeKalb,5,8508,8091,1510,417,0.052,6998,4.634,749323.0,0.011354249102189577
Dougherty,17,1219,996,471,223,0.224,748,1.588,89703.0,0.013589289098469393
Douglas,7,1973,1797,280,176,0.098,1693,6.046,143316.0,0.01376678109910966
Elbert,9,233,164,240,69,0.421,-7,-0.029,19166.0,0.012156944589377022
Emanuel,16,380,214,268,166,0.776,112,0.418,22533.0,0.016864154795189278
Floyd,1,1749,990,1099,759,0.767,650,0.591,97369.0,0.017962595898078443
Franklin,2,264,202,166,62,0.307,98,0.59,22766.0,0.011596240007028025
Fulton,6,12852,12789,2020,63,0.005,10832,5.362,1036200.0,0.012403011001737116
Gordon,1,1529,702,772,827,1.178,757,0.981,57202.0,0.02672983462116709
Henry,7,3164,2755,563,409,0.148,2601,4.62,225356.0,0.01404000780986528
Lamar,8,302,245,76,57,0.233,226,2.974,18672.0,0.01617395029991431
Laurens,16,561,545,216,16,0.029,345,1.597,47405.0,0.011834194705199873
Lee,17,428,336,97,92,0.274,331,3.412,29502.0,0.014507491017558131
Madison,9,388,303,66,85,0.281,322,4.879,29218.0,0.013279485248819221
McDuffie,13,372,182,297,190,1.044,75,0.253,21455.0,0.017338615707294336
Meriwether,8,255,266,107,-11,-0.041,148,1.383,21106.0,0.012081872453330806
Murray,1,1339,689,1060,650,0.943,279,0.263,39724.0,0.03370758231799416
Muscogee,14,3353,2051,1027,1302,0.635,2326,2.265,195739.0,0.01712995366278565
Peach,11,437,273,68,164,0.601,369,5.426,27145.0,0.01609872904770676
Polk,1,711,372,360,339,0.911,351,0.975,41908.0,0.016965734465973083
Richmond,12,2477,1896,847,581,0.306,1630,1.924,201852.0,0.012271367140280999
Rockdale,7,1046,1012,266,34,0.034,780,2.932,89717.0,0.011658882931885819
Spalding,8,894,691,352,203,0.294,542,1.54,65306.0,0.013689400667626252
Sumter,15,370,280,97,90,0.321,273,2.814,30064.0,0.012307078233102715
Toombs,16,563,192,389,371,1.932,174,0.447,26972.0,0.0208734984428296
Upson,8,462,470,175,-8,-0.017,287,1.64,26236.0,0.017609391675560297
Whitfield,1,3899,1937,2273,1962,1.013,1626,0.715,104237.0,0.03740514404673964
